datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 06:30:00,1709292600000,119.03,119.03,119.03,119.03,156.0,119.0265
2024-03-01 06:45:00,1709293500000,119.03,119.03,119.03,119.03,150.0,119.03
2024-03-01 07:00:00,1709294400000,119.03,119.03,119.03,119.03,511.0,119.0302
2024-03-01 08:00:00,1709298000000,119.04,119.15,119.04,119.15,1432.0,119.0705
2024-03-01 08:30:00,1709299800000,119.25,119.25,119.25,119.25,100.0,119.25
2024-03-01 09:15:00,1709302500000,119.0,119.0,119.0,119.0,1122.0,119.0007
2024-03-01 09:30:00,1709303400000,118.57,118.63,117.91,118.0668,273781.0,118.3328
2024-03-01 09:45:00,1709304300000,118.12,118.25,117.92,118.1,175381.0,118.059
2024-03-01 10:00:00,1709305200000,118.16,118.455,118.15,118.2699,197780.0,118.2942
2024-03-01 10:15:00,1709306100000,118.24,118.265,117.83,118.25,117908.0,118.0251
2024-03-01 10:30:00,1709307000000,118.29,118.94,118.29,118.9,161038.0,118.552
2024-03-01 10:45:00,1709307900000,118.915,119.335,118.915,119.03,150458.0,119.1325
2024-03-01 11:00:00,1709308800000,119.02,119.17,118.73,118.755,118986.0,118.9754
2024-03-01 11:15:00,1709309700000,118.75,118.84,118.52,118.795,126251.0,118.6883
2024-03-01 11:30:00,1709310600000,118.795,118.86,118.62,118.835,105570.0,118.7554
2024-03-01 11:45:00,1709311500000,118.84,118.88,118.76,118.783,88527.0,118.8106
2024-03-01 12:00:00,1709312400000,118.8,118.955,118.76,118.89,61212.0,118.8508
2024-03-01 12:15:00,1709313300000,118.91,119.1,118.86,118.97,49971.0,118.9999
2024-03-01 12:30:00,1709314200000,118.99,119.14,118.98,119.02,51910.0,119.056
2024-03-01 12:45:00,1709315100000,119.01,119.07,118.96,119.02,50584.0,119.0147
2024-03-01 13:00:00,1709316000000,119.0,119.16,118.965,119.02,53998.0,119.0645
2024-03-01 13:15:00,1709316900000,119.03,119.2,119.03,119.11,51202.0,119.1358
2024-03-01 13:30:00,1709317800000,119.1215,119.2,119.07,119.16,73602.0,119.1399
2024-03-01 13:45:00,1709318700000,119.17,119.36,119.1303,119.35,72216.0,119.2215
2024-03-01 14:00:00,1709319600000,119.365,119.455,119.12,119.15,137227.0,119.2976
2024-03-01 14:15:00,1709320500000,119.15,119.29,119.01,119.12,72221.0,119.1485
2024-03-01 14:30:00,1709321400000,119.13,119.14,118.885,118.9,100018.0,118.964
2024-03-01 14:45:00,1709322300000,118.9,118.94,118.85,118.91,77297.0,118.8951
2024-03-01 15:00:00,1709323200000,118.905,119.07,118.885,118.97,78394.0,118.9891
2024-03-01 15:15:00,1709324100000,118.95,119.08,118.92,118.945,111856.0,119.0097
2024-03-01 15:30:00,1709325000000,118.95,118.99,118.66,118.66,148748.0,118.8357
2024-03-01 15:45:00,1709325900000,118.66,118.75,118.585,118.61,488857.0,118.6659
2024-03-01 16:00:00,1709326800000,118.62,118.62,118.62,118.62,28554.0,118.62
2024-03-01 17:15:00,1709331300000,118.43,118.43,118.43,118.43,200.0,118.43
2024-03-01 17:30:00,1709332200000,118.64,118.64,118.64,118.64,408.0,118.64
2024-03-01 17:45:00,1709333100000,118.64,118.75,118.64,118.75,566.0,118.6852
2024-03-01 19:15:00,1709338500000,118.51,118.51,118.51,118.51,216.0,118.51
2024-03-01 19:30:00,1709339400000,118.6,118.64,118.6,118.64,325.0,118.6264
2024-03-04 08:00:00,1709557200000,118.36,118.64,118.36,118.64,446.0,118.5608
2024-03-04 08:30:00,1709559000000,118.48,118.48,118.48,118.48,340.0,118.4863
2024-03-04 08:45:00,1709559900000,118.44,118.44,118.44,118.44,100.0,118.44
2024-03-04 09:30:00,1709562600000,118.3,118.7,118.17,118.6346,174198.0,118.3945
2024-03-04 09:45:00,1709563500000,118.6,118.88,118.53,118.78,94531.0,118.7443
2024-03-04 10:00:00,1709564400000,118.785,119.04,118.64,118.645,78672.0,118.898
2024-03-04 10:15:00,1709565300000,118.63,118.95,118.61,118.9,52760.0,118.8433
2024-03-04 10:30:00,1709566200000,118.8918,119.03,118.79,118.95,65056.0,118.9202
2024-03-04 10:45:00,1709567100000,118.96,118.9984,118.8,118.91,59240.0,118.8844
2024-03-04 11:00:00,1709568000000,118.93,119.03,118.9,119.0,77319.0,118.9594
2024-03-04 11:15:00,1709568900000,119.0,119.08,118.93,119.05,90986.0,118.9803
2024-03-04 11:30:00,1709569800000,119.05,119.33,119.04,119.33,69405.0,119.2239
2024-03-04 11:45:00,1709570700000,119.32,119.58,119.3,119.51,101200.0,119.4773
2024-03-04 12:00:00,1709571600000,119.51,119.65,119.39,119.63,127065.0,119.5118
