Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-03-25 06:00,Exit,70.9,144,10000.0,230.89,2.31,516.96,5.18,-43.2,-0.43,230.89,2.31
1,Entry long,2024-03-22 14:15,Long,69.3,144,10000.0,230.89,2.31,516.96,5.18,-43.2,-0.43,230.89,2.31
2,Exit long,2024-04-02 13:00,Exit,72.24,141,10230.89,10.18,0.1,347.2,3.41,-83.97,-0.83,241.07,2.41
2,Entry long,2024-04-02 11:30,Long,72.17,141,10230.89,10.18,0.1,347.2,3.41,-83.97,-0.83,241.07,2.41
3,Exit long,2024-04-10 14:45,Exit,70.08,146,10241.07,-2.19,-0.02,229.22,2.24,-322.65,-3.15,238.88,2.39
3,Entry long,2024-04-10 10:15,Long,70.1,146,10241.07,-2.19,-0.02,229.22,2.24,-322.65,-3.15,238.88,2.39
4,Exit long,2024-04-12 07:00,Exit,74.46,137,10238.88,-4.98,-0.05,411.0,4.03,-135.63,-1.33,233.89,2.34
4,Entry long,2024-04-11 11:30,Long,74.5,137,10238.88,-4.98,-0.05,411.0,4.03,-135.63,-1.33,233.89,2.34
5,Exit long,2024-04-24 06:00,Exit,73.82,144,10233.89,407.28,3.98,570.24,5.58,-56.15,-0.55,641.17,6.41
5,Entry long,2024-04-23 10:30,Long,70.99,144,10233.89,407.28,3.98,570.24,5.58,-56.15,-0.55,641.17,6.41
6,Exit long,2024-05-01 08:30,Exit,78.98,122,10641.17,-1001.98,-9.42,170.8,1.61,-1117.52,-10.51,-360.81,-3.61
6,Entry long,2024-04-29 12:45,Long,87.19,122,10641.17,-1001.98,-9.42,170.8,1.61,-1117.52,-10.51,-360.81,-3.61
7,Exit long,2024-05-03 08:30,Exit,79.34,124,9639.19,223.45,2.32,460.04,4.78,-74.4,-0.77,-137.36,-1.37
7,Entry long,2024-05-02 13:30,Long,77.54,124,9639.19,223.45,2.32,460.04,4.78,-74.4,-0.77,-137.36,-1.37
8,Exit long,2024-05-16 08:30,Exit,76.38,129,9862.64,9.84,0.1,241.23,2.45,-132.87,-1.35,-127.52,-1.28
8,Entry long,2024-05-15 14:00,Long,76.3,129,9862.64,9.84,0.1,241.23,2.45,-132.87,-1.35,-127.52,-1.28
9,Exit long,2024-05-28 09:45,Exit,69.45,136,9872.48,-393.89,-4.0,65.28,0.66,-439.01,-4.46,-521.41,-5.21
9,Entry long,2024-05-24 13:15,Long,72.35,136,9872.48,-393.89,-4.0,65.28,0.66,-439.01,-4.46,-521.41,-5.21
10,Exit long,2024-09-18 10:00,Exit,47.11,205,9478.59,192.2,2.03,426.4,4.51,-272.65,-2.88,-329.21,-3.29
10,Entry long,2024-09-17 10:15,Long,46.17,205,9478.59,192.2,2.03,426.4,4.51,-272.65,-2.88,-329.21,-3.29
11,Exit long,2024-09-20 14:45,Exit,50.64,202,9670.79,578.97,6.0,589.84,6.11,-337.34,-3.5,249.76,2.5
11,Entry long,2024-09-18 13:15,Long,47.77,202,9670.79,578.97,6.0,589.84,6.11,-337.34,-3.5,249.76,2.5
12,Exit long,2024-10-08 16:45,Exit,54.68,194,10249.76,361.71,3.53,563.57,5.5,-245.41,-2.4,611.46,6.11
12,Entry long,2024-10-07 12:15,Long,52.82,194,10249.76,361.71,3.53,563.57,5.5,-245.41,-2.4,611.46,6.11
13,Exit long,2024-10-11 03:30,Exit,65.86,167,10611.46,420.76,3.98,543.58,5.14,-62.62,-0.59,1032.23,10.32
13,Entry long,2024-10-10 10:30,Long,63.34,167,10611.46,420.76,3.98,543.58,5.14,-62.62,-0.59,1032.23,10.32
14,Exit long,2024-10-15 08:30,Exit,64.12,159,11032.23,-786.06,-7.16,22.26,0.2,-884.04,-8.05,246.17,2.46
