datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 04:15:00,1709284500000,60.51,61,60.51,61,985,60.8645
2024-03-01 05:00:00,1709287200000,61.03,61.03,61.03,61.03,273,61.0168
2024-03-01 05:15:00,1709288100000,60.52,60.52,60.52,60.52,376,60.516
2024-03-01 05:45:00,1709289900000,60.69,60.69,60.69,60.69,183,60.7399
2024-03-01 06:15:00,1709291700000,61,61,61,61,100,61
2024-03-01 06:45:00,1709293500000,60.9,60.9,60.9,60.9,1463,60.8958
2024-03-01 07:00:00,1709294400000,60.99,61,60.9,60.9,3686,60.95
2024-03-01 07:15:00,1709295300000,60.51,60.51,60.5,60.5,627,60.5012
2024-03-01 07:30:00,1709296200000,60.5,60.74,60.5,60.74,691,60.6705
2024-03-01 08:00:00,1709298000000,61,61.44,60.48,60.5,2630,60.6271
2024-03-01 08:15:00,1709298900000,60.6999,60.6999,60.48,60.48,320,60.5625
2024-03-01 08:30:00,1709299800000,60.7,60.7,60.7,60.7,100,60.7
2024-03-01 08:45:00,1709300700000,60.69,60.7,60.69,60.7,1130,60.6988
2024-03-01 09:00:00,1709301600000,60.52,60.52,60.48,60.48,1230,60.4992
2024-03-01 09:15:00,1709302500000,60.6,61.45,60.6,60.86,23198,61.1687
2024-03-01 09:30:00,1709303400000,60.73,61.7,59.84,60.34,617556,60.6685
2024-03-01 09:45:00,1709304300000,60.3744,60.77,60.16,60.435,403894,60.51
2024-03-01 10:00:00,1709305200000,60.47,61.205,60.45,61.18,233294,60.9627
2024-03-01 10:15:00,1709306100000,61.15,61.5,60.83,60.91,285399,61.185
2024-03-01 10:30:00,1709307000000,60.91,61.035,60.48,60.59,199994,60.8075
2024-03-01 10:45:00,1709307900000,60.6,60.62,60.19,60.47,112093,60.3967
2024-03-01 11:00:00,1709308800000,60.48,60.58,60.285,60.56,115064,60.4259
2024-03-01 11:15:00,1709309700000,60.56,60.705,60.46,60.63,84114,60.591
2024-03-01 11:30:00,1709310600000,60.65,60.93,60.645,60.92,85942,60.803
2024-03-01 11:45:00,1709311500000,60.91,60.9687,60.5,60.6154,115499,60.7583
2024-03-01 12:00:00,1709312400000,60.6,60.74,60.46,60.71,79267,60.5959
2024-03-01 12:15:00,1709313300000,60.6966,60.8,60.65,60.67,71908,60.7169
2024-03-01 12:30:00,1709314200000,60.65,60.975,60.51,60.9,96960,60.7176
2024-03-01 12:45:00,1709315100000,60.92,60.99,60.75,60.88,122135,60.8557
2024-03-01 13:00:00,1709316000000,60.89,61.27,60.89,61.26,133032,61.1066
2024-03-01 13:15:00,1709316900000,61.26,61.36,61.075,61.3,148606,61.2378
2024-03-01 13:30:00,1709317800000,61.29,61.53,61.24,61.51,114987,61.3956
2024-03-01 13:45:00,1709318700000,61.5,61.65,61.44,61.57,129289,61.566
2024-03-01 14:00:00,1709319600000,61.55,61.62,61.489,61.585,140982,61.5173
2024-03-01 14:15:00,1709320500000,61.585,61.75,61.56,61.73,204429,61.6679
2024-03-01 14:30:00,1709321400000,61.73,61.935,61.6,61.92,193795,61.7087
2024-03-01 14:45:00,1709322300000,61.93,62.0097,61.83,61.89,214761,61.9418
2024-03-01 15:00:00,1709323200000,61.885,61.98,61.64,61.97,213089,61.7942
2024-03-01 15:15:00,1709324100000,61.97,62.34,61.85,61.97,289156,62.0647
2024-03-01 15:30:00,1709325000000,61.97,62.09,61.76,61.995,399124,61.9657
2024-03-01 15:45:00,1709325900000,61.99,62.28,61.79,62.28,799302,62.0766
2024-03-01 16:00:00,1709326800000,62.26,62.68,62.26,62.68,33032,62.2724
2024-03-01 16:15:00,1709327700000,62.916,62.916,62.916,62.916,100,62.916
2024-03-01 16:30:00,1709328600000,62.93,62.93,62.26,62.26,1820,62.3336
2024-03-01 16:45:00,1709329500000,62.35,62.35,62.35,62.35,2000,62.3501
2024-03-01 17:00:00,1709330400000,62.39,62.39,62.39,62.39,200,62.39
2024-03-01 18:00:00,1709334000000,62.39,62.5,62.39,62.5,295,62.4498
2024-03-01 18:30:00,1709335800000,62.8876,62.8876,62.8876,62.8876,160,62.8876
2024-03-01 18:45:00,1709336700000,62.39,62.39,62.36,62.36,561,62.4045
2024-03-01 19:00:00,1709337600000,62.3,62.3,62.3,62.3,163,62.3013
2024-03-04 04:00:00,1709542800000,62.3,63.54,62.3,62.81,2051,63.157
2024-03-04 04:15:00,1709543700000,62.81,62.81,62.75,62.75,328,62.7866
2024-03-04 07:00:00,1709553600000,62.78,62.78,62.78,62.78,295,62.5899
2024-03-04 07:30:00,1709555400000,62.77,62.77,62.61,62.61,708,62.7503
2024-03-04 08:00:00,1709557200000,63.4974,63.97,62.75,62.75,2006,63.0922
2024-03-04 08:15:00,1709558100000,63.4895,63.4895,63,63,1707,63.2327
2024-03-04 08:30:00,1709559000000,63,63,62.9,63,2063,62.9755
2024-03-04 08:45:00,1709559900000,63,63,62.85,63,1543,62.953
2024-03-04 09:00:00,1709560800000,62.83,62.99,62.55,62.94,2617,62.8239
2024-03-04 09:15:00,1709561700000,62.93,62.95,62,62.55,5702,62.4897
2024-03-04 09:30:00,1709562600000,62.5,63.4879,62.33,63.0103,460507,62.8138
2024-03-04 09:45:00,1709563500000,62.95,63.3,62.92,62.98,204116,63.0764
2024-03-04 10:00:00,1709564400000,62.9683,63.29,62.675,62.9499,233796,62.9847
2024-03-04 10:15:00,1709565300000,62.95,63.1,62.545,62.95,170998,62.9072
2024-03-04 10:30:00,1709566200000,62.93,63.4,62.83,63.17,162089,63.1313
2024-03-04 10:45:00,1709567100000,63.14,63.2,62.67,62.95,151226,62.8785
2024-03-04 11:00:00,1709568000000,62.9537,63.01,62.83,62.925,177306,62.9151
2024-03-04 11:15:00,1709568900000,62.9302,62.99,62.66,62.695,254312,62.8585
2024-03-04 11:30:00,1709569800000,62.7,62.775,62.595,62.73,124007,62.6994
2024-03-04 11:45:00,1709570700000,62.74,62.98,62.7,62.89,86282,62.8442
2024-03-04 12:00:00,1709571600000,62.89,62.92,62.75,62.79,128361,62.8311
2024-03-04 12:15:00,1709572500000,62.7852,62.98,62.77,62.94,69718,62.8791
2024-03-04 12:30:00,1709573400000,62.9499,63.07,62.79,62.83,67449,62.9147
2024-03-04 12:45:00,1709574300000,62.84,62.89,62.78,62.81,75282,62.8248
2024-03-04 13:00:00,1709575200000,62.815,62.87,62.77,62.87,64555,62.8214
2024-03-04 13:15:00,1709576100000,62.88,62.91,62.5,62.545,95785,62.6521
2024-03-04 13:30:00,1709577000000,62.5401,62.8,62.51,62.69,93338,62.6867
2024-03-04 13:45:00,1709577900000,62.685,62.86,62.68,62.78,77774,62.7736
2024-03-04 14:00:00,1709578800000,62.76,62.77,62.3401,62.415,83919,62.5766
2024-03-04 14:15:00,1709579700000,62.39,62.4,61.9368,62.0273,128216,62.1103
2024-03-04 14:30:00,1709580600000,62.025,62.415,62.02,62.28,84786,62.2201
2024-03-04 14:45:00,1709581500000,62.29,62.29,62.1116,62.205,96290,62.2009
2024-03-04 15:00:00,1709582400000,62.215,62.285,62.18,62.23,121679,62.2301
2024-03-04 15:15:00,1709583300000,62.21,62.36,62.14,62.2,144874,62.2695
2024-03-04 15:30:00,1709584200000,62.18,62.45,62.08,62.12,222216,62.2574
2024-03-04 15:45:00,1709585100000,62.11,62.11,61.6,61.87,663634,61.8359
2024-03-04 16:00:00,1709586000000,61.87,61.87,61.5003,61.5003,4022,61.8363
2024-03-04 16:15:00,1709586900000,61.75,61.87,61.75,61.87,818,61.8366
2024-03-04 16:30:00,1709587800000,61.57,61.57,61.57,61.57,151,61.5668
2024-03-04 17:00:00,1709589600000,61.57,61.57,61.52,61.52,300,61.5438
2024-03-04 17:15:00,1709590500000,61.78,61.78,61.78,61.78,101,61.7772
2024-03-04 18:15:00,1709594100000,61.51,61.51,61.51,61.51,130,61.5308
2024-03-04 18:30:00,1709595000000,61.69,61.69,61.69,61.69,100,61.69
2024-03-04 19:30:00,1709598600000,61.74,61.74,61.74,61.74,343,61.745
2024-03-04 19:45:00,1709599500000,61.78,61.78,61.78,61.78,201,61.78
2024-03-05 04:00:00,1709629200000,61.26,61.26,60.5,60.5,971,60.6618
2024-03-05 04:30:00,1709631000000,60.97,60.97,60.97,60.97,106,60.9827
2024-03-05 06:15:00,1709637300000,60.97,60.97,60.95,60.95,938,60.9589
2024-03-05 07:00:00,1709640000000,61.16,61.62,61.16,61.62,1023,61.3617
2024-03-05 07:45:00,1709642700000,61.01,61.01,61,61,357,61.0068
2024-03-05 08:00:00,1709643600000,61.006,63.42,61,61,2164,61.2208
2024-03-05 08:15:00,1709644500000,60.65,60.74,60.5,60.5,1799,60.6591
2024-03-05 08:30:00,1709645400000,60.5,60.5,60.5,60.5,677,60.5
2024-03-05 08:45:00,1709646300000,60.38,60.45,60.38,60.3827,300,60.4042
2024-03-05 09:00:00,1709647200000,60.5,60.5,60.5,60.5,160,60.5
2024-03-05 09:30:00,1709649000000,60.75,61.44,60.51,60.675,233326,60.8785
2024-03-05 09:45:00,1709649900000,60.62,61.06,60.21,60.77,161515,60.5299
2024-03-05 10:00:00,1709650800000,60.78,60.944,60.35,60.88,104232,60.6252
2024-03-05 10:15:00,1709651700000,60.85,60.85,60.25,60.3082,236538,60.5457
2024-03-05 10:30:00,1709652600000,60.35,60.65,60.02,60.485,281153,60.2907
2024-03-05 10:45:00,1709653500000,60.5,60.7899,60.22,60.7899,161536,60.4676
2024-03-05 11:00:00,1709654400000,60.79,61.11,60.48,60.5,93079,60.8052
2024-03-05 11:15:00,1709655300000,60.515,61.1,60.49,61.09,71469,60.861
2024-03-05 11:30:00,1709656200000,61.12,61.12,60.67,60.73,59793,60.898
2024-03-05 11:45:00,1709657100000,60.76,60.98,60.64,60.98,66950,60.7723
2024-03-05 12:00:00,1709658000000,61.015,61.07,60.9,61,53920,60.9873
2024-03-05 12:15:00,1709658900000,61.02,61.2178,60.835,61.19,64077,61.0146
2024-03-05 12:30:00,1709659800000,61.21,61.32,60.96,61.3,65361,61.0851
2024-03-05 12:45:00,1709660700000,61.3,61.69,61.265,61.57,49900,61.504
2024-03-05 13:00:00,1709661600000,61.57,61.57,61.175,61.2725,61338,61.35
2024-03-05 13:15:00,1709662500000,61.25,61.44,61.165,61.38,60426,61.3172
2024-03-05 13:30:00,1709663400000,61.35,61.415,61.065,61.115,65393,61.2813
2024-03-05 13:45:00,1709664300000,61.1,61.26,61.035,61.1,71803,61.1572
