datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 04:00:00,1709283600000,143,143,142.39,142.39,8467,142.6196
2024-03-01 04:15:00,1709284500000,142.49,142.7,141.7,141.7,10086,142.1513
2024-03-01 04:30:00,1709285400000,141.9,141.9,141.49,141.88,2273,141.6736
2024-03-01 04:45:00,1709286300000,141.98,142,141.84,141.84,3923,141.9085
2024-03-01 05:00:00,1709287200000,141.56,141.56,141.5,141.5,1410,141.5934
2024-03-01 05:15:00,1709288100000,141.23,141.33,140.9,141,12469,141.0753
2024-03-01 05:30:00,1709289000000,140.9,141.4,140.9,141.4,4369,141.1381
2024-03-01 05:45:00,1709289900000,141.11,141.11,140.54,140.54,1780,140.9275
2024-03-01 06:00:00,1709290800000,141.04,141.04,140.6,140.6,789,140.8864
2024-03-01 06:15:00,1709291700000,140.7,141.3,140.7,141.12,4116,140.9296
2024-03-01 06:30:00,1709292600000,141.12,141.5,141.12,141.48,2369,141.3443
2024-03-01 06:45:00,1709293500000,141.48,142.2,141.48,142.2,7127,141.8612
2024-03-01 07:00:00,1709294400000,141.93,142.1,141.15,141.6,10268,141.5737
2024-03-01 07:15:00,1709295300000,141.85,142.14,141.85,142.14,2656,141.9625
2024-03-01 07:30:00,1709296200000,142.15,142.3,141.9,142.23,13795,142.0678
2024-03-01 07:45:00,1709297100000,142,142.42,141.7,141.7,15473,142.0453
2024-03-01 08:00:00,1709298000000,141.31,143.12,141.25,141.67,51941,141.9662
2024-03-01 08:15:00,1709298900000,141.51,141.73,141.25,141.61,10213,141.4808
2024-03-01 08:30:00,1709299800000,141.55,141.55,140.61,140.85,23545,141.0665
2024-03-01 08:45:00,1709300700000,140.84,141.4,140.83,141.2,26132,141.2006
2024-03-01 09:00:00,1709301600000,141.2,141.6,141.2,141.59,13243,141.3611
2024-03-01 09:15:00,1709302500000,141.5897,141.95,141.4,141.45,26816,141.7878
2024-03-01 09:30:00,1709303400000,141.48,141.5,139.04,140.844,987389,140.4037
2024-03-01 09:45:00,1709304300000,140.875,141.88,139.83,140.634,537153,140.9178
2024-03-01 10:00:00,1709305200000,140.64,141.55,139.53,141.315,559049,140.4428
2024-03-01 10:15:00,1709306100000,141.3,141.4499,140.44,141.32,385238,140.9725
2024-03-01 10:30:00,1709307000000,141.2501,144,140.77,143.52,776902,142.4382
2024-03-01 10:45:00,1709307900000,143.5291,143.5291,142.18,143.01,615000,143.0097
2024-03-01 11:00:00,1709308800000,143.05,143.24,142.3,142.45,327203,142.787
2024-03-01 11:15:00,1709309700000,142.4575,143.18,142.4575,142.64,191895,142.8603
2024-03-01 11:30:00,1709310600000,142.66,143.39,142.5305,143.05,274305,143.1005
2024-03-01 11:45:00,1709311500000,143.0999,144.98,142.8,143.774,629065,143.9211
2024-03-01 12:00:00,1709312400000,143.8402,143.94,141.88,142.4623,342707,143.0266
2024-03-01 12:15:00,1709313300000,142.4,142.8023,142.28,142.74,214332,142.6059
2024-03-01 12:30:00,1709314200000,142.75,142.75,141.71,142.2,268377,142.2315
2024-03-01 12:45:00,1709315100000,142.2,142.78,142.12,142.45,156989,142.5209
2024-03-01 13:00:00,1709316000000,142.55,142.65,142.25,142.41,118072,142.4903
2024-03-01 13:15:00,1709316900000,142.45,142.51,142.1201,142.3,103718,142.3585
2024-03-01 13:30:00,1709317800000,142.26,142.47,142.01,142.165,92330,142.2797
2024-03-01 13:45:00,1709318700000,142.2,142.42,142.05,142.06,102955,142.2092
2024-03-01 14:00:00,1709319600000,142.02,142.1,140.33,140.4,368012,141.087
2024-03-01 14:15:00,1709320500000,140.425,141.82,140.38,141.78,236719,141.0696
2024-03-01 14:30:00,1709321400000,141.76,141.78,140.64,140.9899,182251,141.085
2024-03-01 14:45:00,1709322300000,140.91,141.12,140.5,140.8,180469,140.8498
2024-03-01 15:00:00,1709323200000,140.85,140.8881,139.8,140.06,356779,140.2409
2024-03-01 15:15:00,1709324100000,140.07,140.6667,140,140.46,306281,140.3365
2024-03-01 15:30:00,1709325000000,140.47,141.29,140.39,141.29,258085,140.7894
2024-03-01 15:45:00,1709325900000,141.25,141.64,140.64,141.605,660639,141.2289
2024-03-01 16:00:00,1709326800000,141.38,141.62,141.0481,141.48,7745,141.4613
2024-03-01 16:15:00,1709327700000,141.46,141.78,141.45,141.6,16526,141.6209
2024-03-01 16:30:00,1709328600000,141.69,141.8,141.353,141.74,15428,141.6823
2024-03-01 16:45:00,1709329500000,141.53,141.8,141.3266,141.65,11337,141.7018
2024-03-01 17:00:00,1709330400000,141.54,141.66,141.179,141.65,1817,141.539
2024-03-01 17:15:00,1709331300000,141.7,141.75,141.26,141.26,13224,141.5121
2024-03-01 17:30:00,1709332200000,141.48,141.48,140.2,140.8,20300,140.7295
2024-03-01 17:45:00,1709333100000,140.8,141.1,140.32,141.1,10902,140.6193
2024-03-01 18:00:00,1709334000000,141.08,141.44,141.08,141.29,3643,141.2947
2024-03-01 18:15:00,1709334900000,141.28,141.3,141.1,141.1,3815,141.1913
2024-03-01 18:30:00,1709335800000,141,141.1,140.72,140.84,3462,140.9005
2024-03-01 18:45:00,1709336700000,141,141.1,140.7,141,4928,140.9087
2024-03-01 19:00:00,1709337600000,141.31,141.5,141,141.4,8356,141.3053
2024-03-01 19:15:00,1709338500000,141.4,141.67,141.39,141.45,4347,141.4743
2024-03-01 19:30:00,1709339400000,141.11,141.5,141.03,141.03,6093,141.1728
2024-03-01 19:45:00,1709340300000,141.03,142.09,141,141.56,13081,141.7202
2024-03-04 04:00:00,1709542800000,143,145,143,144.84,9629,144.0799
2024-03-04 04:15:00,1709543700000,144.31,144.65,144.04,144.63,4833,144.3128
2024-03-04 04:30:00,1709544600000,144.84,145,144.05,144.5,11635,144.605
2024-03-04 04:45:00,1709545500000,144.59,146.5,144.59,146,25968,145.7166
2024-03-04 05:00:00,1709546400000,145.56,145.88,145.2,145.2,6707,145.5181
2024-03-04 05:15:00,1709547300000,145.4,145.4,145,145.05,3759,145.1255
2024-03-04 05:30:00,1709548200000,144.95,144.95,144.77,144.77,3127,144.8586
2024-03-04 05:45:00,1709549100000,144.79,145.26,144.79,145.26,1797,144.9808
2024-03-04 06:00:00,1709550000000,144.8,145.56,144.71,145.56,4779,144.9993
2024-03-04 06:15:00,1709550900000,145.42,145.46,145.42,145.46,472,145.4494
2024-03-04 06:30:00,1709551800000,145.46,146.39,145.46,146.39,9398,146.0045
2024-03-04 06:45:00,1709552700000,146.5,147,146.18,146.18,15187,146.602
2024-03-04 07:00:00,1709553600000,146,146.37,145.6,146,21102,146.1233
2024-03-04 07:15:00,1709554500000,146,146.47,145.89,146.47,18119,146.1571
2024-03-04 07:30:00,1709555400000,146.5,146.99,146,146.33,27781,146.5675
2024-03-04 07:45:00,1709556300000,146.22,146.22,144.9,145.02,24974,145.7249
2024-03-04 08:00:00,1709557200000,146.37,146.99,143,145.2,95148,145.6046
2024-03-04 08:15:00,1709558100000,145.2,145.93,145.2,145.93,20710,145.6646
2024-03-04 08:30:00,1709559000000,145.91,146.25,145.85,146.15,17593,146.0561
2024-03-04 08:45:00,1709559900000,146.17,146.5,145.81,146,30221,146.3274
2024-03-04 09:00:00,1709560800000,145.81,146.75,145.5912,146.7,43729,146.1832
2024-03-04 09:15:00,1709561700000,146.74,146.79,145.5,145.51,44455,146.2935
2024-03-04 09:30:00,1709562600000,145.39,148.4799,145.2,147.09,2084246.0,147.0478
2024-03-04 09:45:00,1709563500000,147.14,147.15,141.82,142.0117,1378766.0,144.5244
2024-03-04 10:00:00,1709564400000,141.94,142,139.0601,140.7393,1451397.0,140.4586
2024-03-04 10:15:00,1709565300000,140.7446,140.89,137.75,138.6999,1088731.0,138.9214
2024-03-04 10:30:00,1709566200000,138.535,140.45,138.21,140.06,602918,139.4595
2024-03-04 10:45:00,1709567100000,140.11,140.8794,139.0552,139.2999,529183,140.0524
2024-03-04 11:00:00,1709568000000,139.2281,139.42,138.18,139.0506,457789,138.7357
2024-03-04 11:15:00,1709568900000,139.115,140,138.7701,139.4,333461,139.4388
2024-03-04 11:30:00,1709569800000,139.395,139.489,138.12,139.0123,362616,138.7741
2024-03-04 11:45:00,1709570700000,139.05,140,138.9914,139.79,243436,139.5599
2024-03-04 12:00:00,1709571600000,139.775,140.8,139.32,140.7,350833,140.1396
2024-03-04 12:15:00,1709572500000,140.73,142.16,140.73,141.68,550168,141.4408
2024-03-04 12:30:00,1709573400000,141.61,142.58,141.25,141.4249,496674,141.9931
2024-03-04 12:45:00,1709574300000,141.33,141.6,140.33,140.47,277039,140.9003
2024-03-04 13:00:00,1709575200000,140.42,140.71,139.93,140.36,212009,140.3366
2024-03-04 13:15:00,1709576100000,140.41,140.435,139.19,139.7143,237815,139.7743
2024-03-04 13:30:00,1709577000000,139.8485,140.34,139.67,140.295,141967,139.961
2024-03-04 13:45:00,1709577900000,140.3393,141.0799,140.29,140.7301,384805,140.3382
2024-03-04 14:00:00,1709578800000,140.74,141.3,140.11,140.24,210173,140.7209
2024-03-04 14:15:00,1709579700000,140.23,140.69,140.1201,140.43,138805,140.3626
2024-03-04 14:30:00,1709580600000,140.5859,141.23,140.5024,141,208020,140.9401
2024-03-04 14:45:00,1709581500000,141.05,141.2856,140.15,140.2415,222499,140.7593
2024-03-04 15:00:00,1709582400000,140.29,140.6799,139.95,140.3201,267651,140.355
2024-03-04 15:15:00,1709583300000,140.32,140.48,139.31,139.3987,290489,140.0344
2024-03-04 15:30:00,1709584200000,139.43,139.77,138.61,138.67,364395,139.2621
2024-03-04 15:45:00,1709585100000,138.6725,138.9,137.79,138.04,688900,138.1793
2024-03-04 16:00:00,1709586000000,138.01,138.2,137.33,137.999,30554,137.828
2024-03-04 16:15:00,1709586900000,137.8982,138.078,137.6569,138,9386,137.8398
2024-03-04 16:30:00,1709587800000,137.98,138.48,137.98,138.4,13852,138.2435
2024-03-04 16:45:00,1709588700000,138.4,138.5,138.267,138.33,18915,138.1193
2024-03-04 17:00:00,1709589600000,138.38,138.45,138.2,138.25,4820,138.3135
2024-03-04 17:15:00,1709590500000,138.2,138.3993,138.2,138.25,5752,138.2782
2024-03-04 17:30:00,1709591400000,138.35,138.4,138.24,138.24,3075,138.3332
2024-03-04 17:45:00,1709592300000,138.23,138.3364,137.9,138.3364,6856,138.0628
2024-03-04 18:00:00,1709593200000,138.05,138.4,138,138.02,5519,138.1607
2024-03-04 18:15:00,1709594100000,138.16,138.16,138.16,138.16,558,138.1634
2024-03-04 18:30:00,1709595000000,138.16,138.3,138.16,138.3,794,138.2175
2024-03-04 18:45:00,1709595900000,138.26,138.35,138.2122,138.3,1783,138.2817
2024-03-04 19:00:00,1709596800000,138.2,138.25,138.2,138.2,1475,138.2133
2024-03-04 19:15:00,1709597700000,138.26,138.26,138.18,138.18,1565,138.2158
2024-03-04 19:30:00,1709598600000,138.26,138.45,138.26,138.45,1666,138.3746
2024-03-04 19:45:00,1709599500000,138.44,139.5,138.4399,139.09,8070,138.913
2024-03-05 04:00:00,1709629200000,137.1,137.1,136,136,4492,136.6253
2024-03-05 04:15:00,1709630100000,135.77,135.88,135.09,135.69,6348,135.4519
2024-03-05 04:30:00,1709631000000,135.4,135.4,134.7,134.74,7492,135.0796
2024-03-05 04:45:00,1709631900000,134.7,134.9,134.7,134.89,4004,134.8177
2024-03-05 05:00:00,1709632800000,134.82,134.83,134.15,134.68,9172,134.5777
2024-03-05 05:15:00,1709633700000,134.7,135.7,134.69,135.7,4139,135.1002
2024-03-05 05:30:00,1709634600000,135.55,135.7,135.55,135.7,1834,135.6818
2024-03-05 05:45:00,1709635500000,135.85,136.22,135.84,136.22,3195,136.0178
2024-03-05 06:00:00,1709636400000,136.7,136.81,136.69,136.8,2646,136.7761
2024-03-05 06:15:00,1709637300000,136.22,136.84,136.16,136.84,2374,136.2771
2024-03-05 06:30:00,1709638200000,136.48,136.79,136.48,136.79,1297,136.645
2024-03-05 06:45:00,1709639100000,136.52,136.6,136.33,136.6,1611,136.459
2024-03-05 07:00:00,1709640000000,136.5,137.7,136.5,137.5,17239,137.1563
2024-03-05 07:15:00,1709640900000,137.63,137.63,136.73,137.09,4009,137.1069
2024-03-05 07:30:00,1709641800000,137.31,137.31,136.7,136.7,2830,137.0488
2024-03-05 07:45:00,1709642700000,136.7,136.7,136.11,136.16,8114,136.3073
2024-03-05 08:00:00,1709643600000,136.55,137.9,135.81,136.61,39501,136.6927
2024-03-05 08:15:00,1709644500000,136.7,137.2,135.91,135.91,19170,136.6794
2024-03-05 08:30:00,1709645400000,135.8,136.1,135.6,135.72,16098,135.8407
2024-03-05 08:45:00,1709646300000,135.72,135.8,135.1337,135.25,16971,135.4773
2024-03-05 09:00:00,1709647200000,135.2,135.3484,134.7,134.8,18766,134.9486
2024-03-05 09:15:00,1709648100000,134.8,136.49,134.8,135.39,46695,135.5439
2024-03-05 09:30:00,1709649000000,135.5,135.7408,132.19,132.7201,1459845.0,133.8231
2024-03-05 09:45:00,1709649900000,132.72,133.2865,130,132.83,1255584.0,131.9237
2024-03-05 10:00:00,1709650800000,132.95,133.97,132.68,133.395,541312,133.3382
2024-03-05 10:15:00,1709651700000,133.395,134.15,132.8,133.3415,429819,133.4168
2024-03-05 10:30:00,1709652600000,133.3,133.96,132.4,132.99,432852,133.042
2024-03-05 10:45:00,1709653500000,133.02,133.38,132.55,133.255,248924,133.0656
2024-03-05 11:00:00,1709654400000,133.22,133.59,132.62,132.885,224060,133.1845
2024-03-05 11:15:00,1709655300000,132.8101,134.54,132.65,133.8545,270790,133.5532
2024-03-05 11:30:00,1709656200000,133.81,134.2,133.55,133.875,195996,133.9052
2024-03-05 11:45:00,1709657100000,133.88,135,133.79,134.8223,270515,134.5517
