Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-03-27 08:30,Exit,132.22,72,10000.0,-355.98,-3.6,59.53,0.6,-387.29,-3.92,-355.98,-3.56
1,Entry long,2024-03-22 10:15,Long,137.17,72,10000.0,-355.98,-3.6,59.53,0.6,-387.29,-3.92,-355.98,-3.56
2,Exit long,2024-04-09 09:45,Exit,130.97,71,9644.02,-305.37,-3.18,60.31,0.63,-313.07,-3.26,-661.35,-6.61
2,Entry long,2024-04-05 11:00,Long,135.27,71,9644.02,-305.37,-3.18,60.31,0.63,-313.07,-3.26,-661.35,-6.61
3,Exit long,2024-05-14 07:30,Exit,132.87,70,9338.65,9.29,0.1,217.0,2.34,-177.73,-1.91,-652.06,-6.52
3,Entry long,2024-05-08 10:45,Long,132.74,70,9338.65,9.29,0.1,217.0,2.34,-177.73,-1.91,-652.06,-6.52
4,Exit long,2024-05-15 14:15,Exit,143.43,69,9347.94,560.19,6.0,563.35,6.03,-9.0,-0.1,-91.87,-0.92
4,Entry long,2024-05-14 12:00,Long,135.31,69,9347.94,560.19,6.0,563.35,6.03,-9.0,-0.1,-91.87,-0.92
5,Exit long,2024-05-22 13:15,Exit,138.51,70,9908.13,-202.71,-2.05,78.82,0.8,-203.1,-2.05,-294.59,-2.95
5,Entry long,2024-05-20 12:00,Long,141.41,70,9908.13,-202.71,-2.05,78.82,0.8,-203.1,-2.05,-294.59,-2.95
6,Exit long,2024-05-30 08:45,Exit,136.91,68,9705.41,-281.76,-2.94,45.5,0.47,-295.66,-3.08,-576.35,-5.76
6,Entry long,2024-05-24 10:15,Long,141.05,68,9705.41,-281.76,-2.94,45.5,0.47,-295.66,-3.08,-576.35,-5.76
7,Exit long,2024-06-12 08:30,Exit,149.06,64,9423.65,260.87,2.81,414.91,4.47,-57.09,-0.62,-315.47,-3.15
7,Entry long,2024-06-11 10:30,Long,144.99,64,9423.65,260.87,2.81,414.91,4.47,-57.09,-0.62,-315.47,-3.15
8,Exit long,2024-06-17 07:00,Exit,178.82,56,9684.53,444.67,4.65,530.21,5.54,-21.11,-0.22,129.2,1.29
8,Entry long,2024-06-14 11:00,Long,170.88,56,9684.53,444.67,4.65,530.21,5.54,-21.11,-0.22,129.2,1.29
9,Exit long,2024-07-05 03:15,Exit,176.0,61,10129.2,727.12,7.26,727.12,7.26,-114.68,-1.15,856.32,8.56
9,Entry long,2024-07-01 15:00,Long,164.08,61,10129.2,727.12,7.26,727.12,7.26,-114.68,-1.15,856.32,8.56
10,Exit long,2024-07-19 07:00,Exit,160.08,67,10856.32,10.71,0.1,223.11,2.08,-28.14,-0.26,867.03,8.67
10,Entry long,2024-07-18 14:45,Long,159.92,67,10856.32,10.71,0.1,223.11,2.08,-28.14,-0.26,867.03,8.67
11,Exit long,2024-07-24 08:15,Exit,158.7,65,10867.03,-387.83,-3.62,42.9,0.4,-416.65,-3.89,479.2,4.79
11,Entry long,2024-07-23 10:15,Long,164.67,65,10867.03,-387.83,-3.62,42.9,0.4,-416.65,-3.89,479.2,4.79
12,Exit long,2024-08-16 06:15,Exit,165.92,65,10479.2,439.32,4.25,526.03,5.08,-166.22,-1.61,918.52,9.19
12,Entry long,2024-08-14 10:45,Long,159.16,65,10479.2,439.32,4.25,526.03,5.08,-166.22,-1.61,918.52,9.19
13,Exit long,2024-09-19 14:00,Exit,168.01,66,10918.52,224.6,2.07,356.07,3.28,-221.43,-2.04,1143.13,11.43
13,Entry long,2024-09-18 13:15,Long,164.6,66,10918.52,224.6,2.07,356.07,3.28,-221.43,-2.04,1143.13,11.43
14,Exit long,2024-09-26 09:30,Exit,178.14,63,11143.13,221.27,2.01,354.06,3.22,-135.45,-1.23,1364.39,13.64
14,Entry long,2024-09-24 11:00,Long,174.63,63,11143.13,221.27,2.01,354.06,3.22,-135.45,-1.23,1364.39,13.64
15,Exit long,2024-10-01 09:00,Exit,167.42,65,11364.39,-355.44,-3.16,30.55,0.27,-371.15,-3.3,1008.95,10.09
15,Entry long,2024-09-30 10:30,Long,172.89,65,11364.39,-355.44,-3.16,30.55,0.27,-371.15,-3.3,1008.95,10.09
16,Exit long,2024-10-10 04:00,Exit,184.46,61,11008.95,327.63,3.0,447.49,4.1,-162.51,-1.49,1336.58,13.37
16,Entry long,2024-10-08 12:15,Long,179.08,61,11008.95,327.63,3.0,447.49,4.1,-162.51,-1.49,1336.58,13.37
17,Exit long,2024-11-06 06:15,Exit,176.24,65,11336.58,258.15,2.31,435.5,3.89,-250.25,-2.23,1594.73,15.95
17,Entry long,2024-11-04 11:15,Long,172.27,65,11336.58,258.15,2.31,435.5,3.89,-250.25,-2.23,1594.73,15.95
18,Exit long,2024-11-11 09:30,Exit,179.2,62,11594.73,-330.59,-2.89,7.44,0.07,-363.32,-3.18,1264.13,12.64
18,Entry long,2024-11-08 11:00,Long,184.53,62,11594.73,-330.59,-2.89,7.44,0.07,-363.32,-3.18,1264.13,12.64
19,Exit long,2024-12-10 10:45,Exit,174.09,62,11264.13,-307.69,-2.77,6.82,0.06,-321.47,-2.9,956.45,9.56
19,Entry long,2024-12-09 16:00,Long,179.05,62,11264.13,-307.69,-2.77,6.82,0.06,-321.47,-2.9,956.45,9.56
20,Exit long,2024-12-27 09:30,Exit,242.38,45,10956.45,10.9,0.1,239.85,2.2,-175.95,-1.61,967.34,9.67
20,Entry long,2024-12-26 10:30,Long,242.14,45,10956.45,10.9,0.1,239.85,2.2,-175.95,-1.61,967.34,9.67
21,Exit long,2025-01-14 07:00,Exit,226.49,48,10967.34,10.86,0.1,233.04,2.15,-125.52,-1.16,978.2,9.78
21,Entry long,2025-01-13 10:45,Long,226.26,48,10967.34,10.86,0.1,233.04,2.15,-125.52,-1.16,978.2,9.78
22,Exit long,2025-01-16 08:00,Exit,229.33,47,10978.2,10.77,0.1,280.46,2.6,-151.47,-1.41,988.97,9.89
22,Entry long,2025-01-15 10:15,Long,229.1,47,10978.2,10.77,0.1,280.46,2.6,-151.47,-1.41,988.97,9.89
23,Exit long,2025-02-03 04:00,Exit,212.91,49,10988.97,-463.73,-4.26,217.07,1.99,-508.13,-4.66,525.25,5.25
23,Entry long,2025-01-31 10:30,Long,222.37,49,10988.97,-463.73,-4.26,217.07,1.99,-508.13,-4.66,525.25,5.25
24,Exit long,2025-02-04 16:00,Exit,231.95,48,10525.25,630.22,6.0,769.2,7.32,-178.32,-1.7,1155.46,11.55
24,Entry long,2025-02-03 10:30,Long,218.82,48,10525.25,630.22,6.0,769.2,7.32,-178.32,-1.7,1155.46,11.55
25,Exit long,2025-02-11 09:30,Exit,231.34,48,11155.46,11.09,0.1,226.08,2.04,-54.53,-0.49,1166.55,11.67
