datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 04:15:00,1709284500000,220.67,220.67,220.67,220.67,142.0,220.5606
2024-03-01 07:00:00,1709294400000,219.99,219.99,219.5,219.5,350.0,219.6406
2024-03-01 08:30:00,1709299800000,219.75,219.75,219.75,219.75,336.0,219.7366
2024-03-01 09:15:00,1709302500000,219.0,219.01,219.0,219.01,330.0,219.0136
2024-03-01 09:30:00,1709303400000,219.31,220.23,218.43,218.7,198800.0,219.3109
2024-03-01 09:45:00,1709304300000,218.72,219.47,218.72,219.21,78225.0,219.071
2024-03-01 10:00:00,1709305200000,219.29,219.76,219.02,219.245,92178.0,219.2834
2024-03-01 10:15:00,1709306100000,219.285,220.16,219.285,219.955,83769.0,219.8478
2024-03-01 10:30:00,1709307000000,220.02,220.13,219.45,220.07,67866.0,219.8094
2024-03-01 10:45:00,1709307900000,220.15,220.38,219.89,219.985,87529.0,220.0819
2024-03-01 11:00:00,1709308800000,220.02,220.32,219.64,219.705,71002.0,219.9693
2024-03-01 11:15:00,1709309700000,219.765,219.99,219.51,219.57,54546.0,219.7478
2024-03-01 11:30:00,1709310600000,219.56,219.6,219.29,219.525,59822.0,219.45
2024-03-01 11:45:00,1709311500000,219.56,219.71,219.47,219.53,46375.0,219.5731
2024-03-01 12:00:00,1709312400000,219.51,219.59,219.3,219.54,39133.0,219.4875
2024-03-01 12:15:00,1709313300000,219.555,219.82,219.45,219.67,41559.0,219.6102
2024-03-01 12:30:00,1709314200000,219.68,219.815,219.62,219.75,43603.0,219.7037
2024-03-01 12:45:00,1709315100000,219.72,220.0,219.61,219.68,51711.0,219.8008
2024-03-01 13:00:00,1709316000000,219.7,219.7,219.48,219.5229,36336.0,219.5813
2024-03-01 13:15:00,1709316900000,219.57,219.65,219.4,219.53,43949.0,219.526
2024-03-01 13:30:00,1709317800000,219.505,219.63,219.42,219.58,47162.0,219.513
2024-03-01 13:45:00,1709318700000,219.58,219.99,219.58,219.955,34104.0,219.8116
2024-03-01 14:00:00,1709319600000,219.97,220.245,219.97,220.18,47265.0,220.1587
2024-03-01 14:15:00,1709320500000,220.22,220.26,219.8273,219.93,62952.0,220.0243
2024-03-01 14:30:00,1709321400000,219.92,219.94,219.7,219.75,63302.0,219.8055
2024-03-01 14:45:00,1709322300000,219.74,219.81,219.62,219.66,50678.0,219.7256
2024-03-01 15:00:00,1709323200000,219.65,219.8,219.44,219.73,64692.0,219.6383
2024-03-01 15:15:00,1709324100000,219.725,220.05,219.6915,219.944,55268.0,219.8772
2024-03-01 15:30:00,1709325000000,219.97,220.04,219.7,219.78,96632.0,219.85
2024-03-01 15:45:00,1709325900000,219.77,219.81,219.45,219.66,291825.0,219.6368
2024-03-01 16:00:00,1709326800000,219.66,219.66,219.66,219.66,15365.0,219.66
2024-03-01 16:15:00,1709327700000,219.66,219.66,218.9,218.9,2489.0,219.5989
2024-03-04 07:00:00,1709553600000,219.75,219.75,219.75,219.75,100.0,219.75
2024-03-04 07:30:00,1709555400000,219.13,219.13,219.13,219.13,118.0,219.1904
2024-03-04 08:45:00,1709559900000,218.91,218.91,218.4,218.4,465.0,218.5159
2024-03-04 09:15:00,1709561700000,219.11,219.11,219.11,219.11,231.0,219.2955
2024-03-04 09:30:00,1709562600000,219.07,219.4474,217.47,218.13,189678.0,218.3865
2024-03-04 09:45:00,1709563500000,218.22,218.3,217.73,218.05,136082.0,218.0696
2024-03-04 10:00:00,1709564400000,218.06,218.13,217.24,217.44,107016.0,217.6285
2024-03-04 10:15:00,1709565300000,217.45,218.375,217.4,218.31,117773.0,217.8577
2024-03-04 10:30:00,1709566200000,218.33,218.72,218.185,218.67,81155.0,218.3625
2024-03-04 10:45:00,1709567100000,218.69,218.93,218.26,218.82,114572.0,218.5241
2024-03-04 11:00:00,1709568000000,218.81,218.89,218.03,218.11,83558.0,218.4222
2024-03-04 11:15:00,1709568900000,218.11,218.145,217.32,217.69,119979.0,217.6212
2024-03-04 11:30:00,1709569800000,217.7,217.95,217.495,217.76,73165.0,217.6961
2024-03-04 11:45:00,1709570700000,217.76,218.52,217.65,218.5,115897.0,218.217
2024-03-04 12:00:00,1709571600000,218.51,218.59,218.205,218.4,53470.0,218.3445
2024-03-04 12:15:00,1709572500000,218.42,218.53,218.1704,218.21,60681.0,218.3393
2024-03-04 12:30:00,1709573400000,218.22,218.52,218.19,218.37,32717.0,218.3925
2024-03-04 12:45:00,1709574300000,218.33,218.53,218.23,218.53,37381.0,218.3825
2024-03-04 13:00:00,1709575200000,218.56,218.67,218.43,218.5199,32625.0,218.5288
2024-03-04 13:15:00,1709576100000,218.48,218.5408,218.19,218.2,36676.0,218.3746
2024-03-04 13:30:00,1709577000000,218.19,218.48,218.17,218.3,42019.0,218.3519
2024-03-04 13:45:00,1709577900000,218.3,218.3,218.07,218.24,42581.0,218.1939
2024-03-04 14:00:00,1709578800000,218.3,218.3,218.095,218.27,38058.0,218.2192
2024-03-04 14:15:00,1709579700000,218.22,218.34,217.95,218.27,36546.0,218.2043
2024-03-04 14:30:00,1709580600000,218.285,219.04,218.285,219.03,56115.0,218.6977
2024-03-04 14:45:00,1709581500000,219.03,219.32,218.98,219.18,53614.0,219.1758
2024-03-04 15:00:00,1709582400000,219.16,219.485,219.11,219.43,61460.0,219.2955
2024-03-04 15:15:00,1709583300000,219.4696,219.58,219.05,219.05,78449.0,219.3964
2024-03-04 15:30:00,1709584200000,219.05,219.25,218.59,219.04,89142.0,218.9934
