Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-01-09 13:45,Exit,52.59,196,9956.8,350.84,3.52,456.68,4.59,0,0.00,350.84,3.51
1,Entry long,2023-01-06 10:30,Long,50.8,196,9956.8,350.84,3.52,456.68,4.59,0,0.00,350.84,3.51
2,Exit long,2023-01-25 09:30,Exit,49.68,203,10330.67,-245.63,-2.38,109.62,1.06,-245.63,-2.38,105.21,1.05
2,Entry long,2023-01-23 10:15,Long,50.89,203,10330.67,-245.63,-2.38,109.62,1.06,-245.63,-2.38,105.21,1.05
3,Exit long,2023-01-30 14:45,Exit,51.13,201,10072.11,205.02,2.04,281.4,2.79,-34.17,-0.34,310.23,3.10
3,Entry long,2023-01-25 15:15,Long,50.11,201,10072.11,205.02,2.04,281.4,2.79,-34.17,-0.34,310.23,3.10
4,Exit long,2023-02-09 15:30,Exit,48.81,206,10291.76,-236.9,-2.30,119.48,1.16,-236.9,-2.30,73.33,0.73
4,Entry long,2023-02-07 15:30,Long,49.96,206,10291.76,-236.9,-2.30,119.48,1.16,-236.9,-2.30,73.33,0.73
5,Exit long,2023-03-13 09:45,Exit,48.66,198,10072.26,-437.58,-4.34,180.18,1.79,-437.58,-4.34,-364.25,-3.64
5,Entry long,2023-03-08 10:45,Long,50.87,198,10072.26,-437.58,-4.34,180.18,1.79,-437.58,-4.34,-364.25,-3.64
6,Exit long,2023-03-14 13:15,Exit,51.12,195,9611.55,356.85,3.71,479.7,4.99,-7.8,-0.08,-7.4,-0.07
6,Entry long,2023-03-13 14:45,Long,49.29,195,9611.55,356.85,3.71,479.7,4.99,-7.8,-0.08,-7.4,-0.07
7,Exit long,2023-03-22 15:00,Exit,49.29,197,9983.96,-273.83,-2.74,49.25,0.49,-273.83,-2.74,-281.23,-2.81
7,Entry long,2023-03-16 12:00,Long,50.68,197,9983.96,-273.83,-2.74,49.25,0.49,-273.83,-2.74,-281.23,-2.81
8,Exit long,2023-04-04 11:15,Exit,51.49,188,9670.72,9.4,0.10,229.36,2.37,-43.24,-0.45,-271.83,-2.72
8,Entry long,2023-03-29 15:15,Long,51.44,188,9670.72,9.4,0.10,229.36,2.37,-43.24,-0.45,-271.83,-2.72
9,Exit long,2023-04-06 09:30,Exit,48.55,186,9690.6,-660.3,-6.81,44.64,0.46,-660.3,-6.81,-932.13,-9.32
9,Entry long,2023-04-05 09:30,Long,52.1,186,9690.6,-660.3,-6.81,44.64,0.46,-660.3,-6.81,-932.13,-9.32
10,Exit long,2023-06-05 09:30,Exit,47.25,191,9017.11,7.64,0.08,213.92,2.37,-68.76,-0.76,-924.49,-9.24
10,Entry long,2023-06-01 11:45,Long,47.21,191,9017.11,7.64,0.08,213.92,2.37,-68.76,-0.76,-924.49,-9.24
11,Exit long,2023-08-31 09:30,Exit,48.68,209,9049.7,1124.42,12.42,1124.42,12.42,-50.16,-0.55,199.93,2.00
11,Entry long,2023-08-30 11:15,Long,43.3,209,9049.7,1124.42,12.42,1124.42,12.42,-50.16,-0.55,199.93,2.00
12,Exit long,2023-09-15 10:30,Exit,48.75,209,10180.39,8.36,0.08,223.63,2.20,-165.11,-1.62,208.29,2.08
12,Entry long,2023-09-06 10:30,Long,48.71,209,10180.39,8.36,0.08,223.63,2.20,-165.11,-1.62,208.29,2.08
13,Exit long,2023-09-21 09:30,Exit,47.38,210,10189.2,-239.4,-2.35,23.1,0.23,-239.4,-2.35,-31.11,-0.31
13,Entry long,2023-09-20 10:30,Long,48.52,210,10189.2,-239.4,-2.35,23.1,0.23,-239.4,-2.35,-31.11,-0.31
14,Exit long,2023-09-26 10:00,Exit,46.67,209,9958.85,-204.82,-2.06,4.18,0.04,-204.82,-2.06,-235.93,-2.36
14,Entry long,2023-09-22 11:00,Long,47.65,209,9958.85,-204.82,-2.06,4.18,0.04,-204.82,-2.06,-235.93,-2.36
15,Exit long,2023-09-29 13:00,Exit,47.57,210,9720.9,268.8,2.77,348.6,3.59,-65.1,-0.67,32.87,0.33
