datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 08:30:00,1709299800000,37.89,37.94,37.89,37.94,1165,37.9225
2024-03-01 08:45:00,1709300700000,37.87,37.9,37.86,37.9,2682,37.8704
2024-03-01 09:00:00,1709301600000,37.91,37.91,37.86,37.89,1631,37.8846
2024-03-01 09:15:00,1709302500000,37.89,37.89,37.89,37.89,300,37.8885
2024-03-01 09:30:00,1709303400000,37.79,37.83,37.63,37.735,375355,37.7656
2024-03-01 09:45:00,1709304300000,37.735,37.81,37.66,37.75,402733,37.7201
2024-03-01 10:00:00,1709305200000,37.76,37.84,37.72,37.72,248587,37.7875
2024-03-01 10:15:00,1709306100000,37.725,37.85,37.72,37.85,250656,37.7779
2024-03-01 10:30:00,1709307000000,37.845,37.9,37.76,37.9,199441,37.834
2024-03-01 10:45:00,1709307900000,37.8975,37.98,37.885,37.975,195741,37.931
2024-03-01 11:00:00,1709308800000,37.97,38.02,37.94,37.945,210909,37.9844
2024-03-01 11:15:00,1709309700000,37.945,37.975,37.87,37.88,160155,37.9362
2024-03-01 11:30:00,1709310600000,37.875,37.9887,37.85,37.95,202589,37.9235
2024-03-01 11:45:00,1709311500000,37.96,38.01,37.93,38.01,327768,37.9595
2024-03-01 12:00:00,1709312400000,38,38.0575,37.99,38.05,189510,38.016
2024-03-01 12:15:00,1709313300000,38.05,38.11,38.02,38.11,186584,38.0674
2024-03-01 12:30:00,1709314200000,38.11,38.15,38.095,38.145,180582,38.1279
2024-03-01 12:45:00,1709315100000,38.15,38.16,38.12,38.15,125311,38.1388
2024-03-01 13:00:00,1709316000000,38.145,38.17,38.1225,38.13,152822,38.1452
2024-03-01 13:15:00,1709316900000,38.125,38.19,38.125,38.18,163919,38.1577
2024-03-01 13:30:00,1709317800000,38.18,38.1986,38.14,38.145,192307,38.1731
2024-03-01 13:45:00,1709318700000,38.15,38.17,38.14,38.145,152597,38.1533
2024-03-01 14:00:00,1709319600000,38.145,38.2,38.135,38.15,171820,38.1725
2024-03-01 14:15:00,1709320500000,38.15,38.16,38.095,38.15,169741,38.1283
2024-03-01 14:30:00,1709321400000,38.15,38.17,38.12,38.15,183659,38.1424
2024-03-01 14:45:00,1709322300000,38.15,38.165,38.13,38.15,164463,38.1471
2024-03-01 15:00:00,1709323200000,38.15,38.17,38.125,38.17,288809,38.1518
2024-03-01 15:15:00,1709324100000,38.165,38.185,38.15,38.17,230697,38.1639
2024-03-01 15:30:00,1709325000000,38.17,38.25,38.16,38.24,353667,38.2124
2024-03-01 15:45:00,1709325900000,38.235,38.25,38.205,38.22,926837,38.2301
2024-03-01 16:00:00,1709326800000,38.23,38.23,38.23,38.23,237972,38.23
2024-03-01 16:30:00,1709328600000,38.22,38.22,38.22,38.22,400,38.22
2024-03-01 16:45:00,1709329500000,38,38,38,38,1500,38
2024-03-01 18:15:00,1709334900000,38,38,38,38,200,38
2024-03-04 07:15:00,1709554500000,38.15,38.15,38.15,38.15,830,38.1505
2024-03-04 08:30:00,1709559000000,38.11,38.11,38.11,38.11,300,38.1078
2024-03-04 08:45:00,1709559900000,38.11,38.11,38.11,38.11,727,38.1099
2024-03-04 09:15:00,1709561700000,38.17,38.23,38.17,38.23,1531,38.1777
2024-03-04 09:30:00,1709562600000,38.17,38.29,38.14,38.2299,412162,38.2275
2024-03-04 09:45:00,1709563500000,38.23,38.29,38.22,38.28,202596,38.2583
2024-03-04 10:00:00,1709564400000,38.28,38.34,38.26,38.28,307894,38.2982
2024-03-04 10:15:00,1709565300000,38.275,38.34,38.24,38.34,129633,38.2932
2024-03-04 10:30:00,1709566200000,38.34,38.34,38.16,38.2105,116224,38.2386
2024-03-04 10:45:00,1709567100000,38.22,38.23,38.13,38.148,124869,38.1803
2024-03-04 11:00:00,1709568000000,38.145,38.1775,38.11,38.125,127227,38.1413
2024-03-04 11:15:00,1709568900000,38.13,38.14,38.0925,38.13,128482,38.1147
2024-03-04 11:30:00,1709569800000,38.1295,38.2,38.125,38.2,110086,38.1561
2024-03-04 11:45:00,1709570700000,38.1947,38.2,38.1625,38.18,81114,38.177
2024-03-04 12:00:00,1709571600000,38.17,38.19,38.1412,38.175,90829,38.1659
2024-03-04 12:15:00,1709572500000,38.175,38.1775,38.13,38.136,75249,38.1594
2024-03-04 12:30:00,1709573400000,38.13,38.22,38.12,38.21,155770,38.1671
2024-03-04 12:45:00,1709574300000,38.21,38.22,38.17,38.19,87319,38.1921
2024-03-04 13:00:00,1709575200000,38.19,38.2675,38.19,38.255,178856,38.2408
2024-03-04 13:15:00,1709576100000,38.25,38.34,38.25,38.3201,129082,38.2861
2024-03-04 13:30:00,1709577000000,38.32,38.32,38.27,38.28,72136,38.2956
2024-03-04 13:45:00,1709577900000,38.28,38.29,38.25,38.265,93537,38.2723
2024-03-04 14:00:00,1709578800000,38.27,38.34,38.2514,38.325,95471,38.3051
2024-03-04 14:15:00,1709579700000,38.325,38.33,38.26,38.31,190944,38.3029
2024-03-04 14:30:00,1709580600000,38.315,38.345,38.27,38.345,209975,38.31
2024-03-04 14:45:00,1709581500000,38.34,38.385,38.3,38.3489,283689,38.3434
2024-03-04 15:00:00,1709582400000,38.34,38.37,38.31,38.31,156792,38.3396
2024-03-04 15:15:00,1709583300000,38.31,38.34,38.28,38.285,214204,38.3106
2024-03-04 15:30:00,1709584200000,38.29,38.35,38.2825,38.32,304464,38.3182
2024-03-04 15:45:00,1709585100000,38.31,38.395,38.3,38.37,1013125.0,38.3446
2024-03-04 16:00:00,1709586000000,38.38,38.38,38.38,38.38,946289,38.38
2024-03-05 09:15:00,1709648100000,38.36,38.43,38.36,38.43,3018,38.3839
2024-03-05 09:30:00,1709649000000,38.44,38.55,38.325,38.475,553304,38.4445
2024-03-05 09:45:00,1709649900000,38.475,38.48,38.425,38.43,342006,38.4577
2024-03-05 10:00:00,1709650800000,38.44,38.59,38.4,38.49,1019892.0,38.45
2024-03-05 10:15:00,1709651700000,38.485,38.52,38.435,38.5,431714,38.4727
2024-03-05 10:30:00,1709652600000,38.495,38.61,38.48,38.59,903448,38.5339
2024-03-05 10:45:00,1709653500000,38.59,38.605,38.4425,38.56,324672,38.5204
2024-03-05 11:00:00,1709654400000,38.5575,38.56,38.47,38.476,256681,38.5012
2024-03-05 11:15:00,1709655300000,38.475,38.49,38.345,38.42,410545,38.4088
2024-03-05 11:30:00,1709656200000,38.41,38.46,38.33,38.3475,179778,38.4119
2024-03-05 11:45:00,1709657100000,38.34,38.38,38.29,38.315,207579,38.3335
2024-03-05 12:00:00,1709658000000,38.315,38.32,38.27,38.295,207328,38.2906
2024-03-05 12:15:00,1709658900000,38.295,38.3,38.24,38.27,160114,38.2685
2024-03-05 12:30:00,1709659800000,38.27,38.28,38.225,38.265,153526,38.2498
2024-03-05 12:45:00,1709660700000,38.27,38.32,38.255,38.31,127566,38.2917
2024-03-05 13:00:00,1709661600000,38.3,38.35,38.285,38.34,136503,38.3134
2024-03-05 13:15:00,1709662500000,38.34,38.3475,38.295,38.32,121738,38.3179
2024-03-05 13:30:00,1709663400000,38.32,38.36,38.32,38.32,124626,38.3411
2024-03-05 13:45:00,1709664300000,38.32,38.34,38.29,38.3,143297,38.3124
2024-03-05 14:00:00,1709665200000,38.3,38.32,38.2625,38.295,172363,38.2857
2024-03-05 14:15:00,1709666100000,38.3,38.32,38.285,38.285,134012,38.3046
2024-03-05 14:30:00,1709667000000,38.286,38.29,38.21,38.245,188596,38.2411
2024-03-05 14:45:00,1709667900000,38.245,38.27,38.2,38.22,246350,38.231
2024-03-05 15:00:00,1709668800000,38.22,38.22,38.1012,38.1103,253870,38.1645
2024-03-05 15:15:00,1709669700000,38.115,38.14,38.08,38.1079,349982,38.1142
2024-03-05 15:30:00,1709670600000,38.105,38.165,38.095,38.145,420397,38.1287
2024-03-05 15:45:00,1709671500000,38.14,38.26,38.12,38.26,1251345.0,38.212
2024-03-05 16:00:00,1709672400000,38.25,38.25,38.25,38.25,431344,38.25
2024-03-05 16:30:00,1709674200000,38.25,38.25,38.25,38.25,1100,38.2497
2024-03-05 19:45:00,1709685900000,38.25,38.25,38.25,38.25,100,38.25
2024-03-06 07:00:00,1709726400000,38.23,38.24,38.23,38.24,1561,38.233
2024-03-06 07:30:00,1709728200000,38.23,38.23,38.23,38.23,194,38.2348
2024-03-06 08:15:00,1709730900000,38.24,38.24,38.18,38.19,821,38.1979
2024-03-06 08:30:00,1709731800000,38.19,38.19,38.19,38.19,193,38.1858
2024-03-06 08:45:00,1709732700000,38.24,38.25,38.23,38.25,594,38.2414
2024-03-06 09:00:00,1709733600000,38.26,38.27,38.26,38.27,729,38.2614
2024-03-06 09:15:00,1709734500000,38.26,38.26,38.16,38.16,2699,38.2229
2024-03-06 09:30:00,1709735400000,38.21,38.43,38.125,38.1334,348319,38.2618
2024-03-06 09:45:00,1709736300000,38.135,38.4,38.135,38.4,219027,38.2405
2024-03-06 10:00:00,1709737200000,38.39,38.395,38.27,38.395,221160,38.3291
2024-03-06 10:15:00,1709738100000,38.39,38.49,38.38,38.455,179424,38.4506
2024-03-06 10:30:00,1709739000000,38.455,38.47,38.37,38.37,236190,38.4269
2024-03-06 10:45:00,1709739900000,38.365,38.41,38.295,38.4,315110,38.3415
2024-03-06 11:00:00,1709740800000,38.395,38.42,38.36,38.405,132810,38.3925
2024-03-06 11:15:00,1709741700000,38.405,38.455,38.4014,38.45,202812,38.4282
2024-03-06 11:30:00,1709742600000,38.445,38.45,38.4,38.425,148081,38.4325
2024-03-06 11:45:00,1709743500000,38.43,38.485,38.42,38.455,136604,38.4524
2024-03-06 12:00:00,1709744400000,38.46,38.5075,38.46,38.49,118582,38.4798
2024-03-06 12:15:00,1709745300000,38.49,38.5,38.46,38.485,102500,38.4839
2024-03-06 12:30:00,1709746200000,38.48,38.5,38.425,38.435,93089,38.4687
2024-03-06 12:45:00,1709747100000,38.435,38.44,38.36,38.3787,99682,38.3961
2024-03-06 13:00:00,1709748000000,38.38,38.38,38.33,38.345,82504,38.3526
2024-03-06 13:15:00,1709748900000,38.35,38.385,38.32,38.355,91103,38.3514
2024-03-06 13:30:00,1709749800000,38.355,38.36,38.25,38.305,141097,38.2914
2024-03-06 13:45:00,1709750700000,38.31,38.31,38.22,38.28,159094,38.2554
2024-03-06 14:00:00,1709751600000,38.275,38.3,38.19,38.21,153603,38.2555
2024-03-06 14:15:00,1709752500000,38.21,38.22,38.15,38.2175,152495,38.182
2024-03-06 14:30:00,1709753400000,38.22,38.22,38.13,38.145,160591,38.1706
2024-03-06 14:45:00,1709754300000,38.145,38.17,38.09,38.135,173287,38.1319
2024-03-06 15:00:00,1709755200000,38.13,38.13,38.06,38.065,209431,38.1003
2024-03-06 15:15:00,1709756100000,38.065,38.11,38.055,38.085,259999,38.0794
2024-03-06 15:30:00,1709757000000,38.085,38.145,38.0713,38.11,324517,38.1052
2024-03-06 15:45:00,1709757900000,38.115,38.1475,38.04,38.09,1095086.0,38.0793
2024-03-06 16:00:00,1709758800000,38.09,38.09,38.09,38.09,452225,38.09
2024-03-06 16:15:00,1709759700000,38.09,38.09,38.09,38.09,3275,38.09
2024-03-06 17:15:00,1709763300000,38.09,38.09,38.09,38.09,50491,38.09
2024-03-06 17:45:00,1709765100000,38.01,38.01,38.01,38.01,329,38.0105
2024-03-06 19:00:00,1709769600000,38,38,38,38,206,38
2024-03-06 19:15:00,1709770500000,38,38,38,38,206,38
2024-03-07 08:45:00,1709819100000,38.21,38.21,38.21,38.21,255,38.2093
2024-03-07 09:15:00,1709820900000,38.22,38.43,38.2,38.42,19765,38.3636
2024-03-07 09:30:00,1709821800000,38.41,38.46,38.25,38.285,359953,38.3598
2024-03-07 09:45:00,1709822700000,38.285,38.42,38.27,38.39,122448,38.3174
2024-03-07 10:00:00,1709823600000,38.395,38.41,38.27,38.28,140564,38.3372
2024-03-07 10:15:00,1709824500000,38.28,38.36,38.2687,38.355,97963,38.3123
2024-03-07 10:30:00,1709825400000,38.35,38.37,38.29,38.315,104632,38.3254
2024-03-07 10:45:00,1709826300000,38.32,38.34,38.2925,38.33,113190,38.3145
2024-03-07 11:00:00,1709827200000,38.33,38.3492,38.31,38.3101,89186,38.3262
2024-03-07 11:15:00,1709828100000,38.31,38.315,38.25,38.3,133886,38.2866
2024-03-07 11:30:00,1709829000000,38.3,38.3075,38.26,38.285,87300,38.2833
2024-03-07 11:45:00,1709829900000,38.285,38.33,38.26,38.305,111244,38.3001
2024-03-07 12:00:00,1709830800000,38.305,38.315,38.27,38.28,85537,38.294
2024-03-07 12:15:00,1709831700000,38.28,38.31,38.26,38.26,83837,38.2783
2024-03-07 12:30:00,1709832600000,38.26,38.31,38.25,38.305,158809,38.277
2024-03-07 12:45:00,1709833500000,38.305,38.33,38.28,38.315,233483,38.307
2024-03-07 13:00:00,1709834400000,38.31,38.345,38.3,38.31,95191,38.3244
2024-03-07 13:15:00,1709835300000,38.305,38.32,38.27,38.2889,74916,38.2934
2024-03-07 13:30:00,1709836200000,38.29,38.295,38.25,38.275,76053,38.2631
2024-03-07 13:45:00,1709837100000,38.2775,38.3,38.26,38.29,79279,38.2821
2024-03-07 14:00:00,1709838000000,38.29,38.3,38.24,38.25,127202,38.2646
2024-03-07 14:15:00,1709838900000,38.255,38.27,38.14,38.14,232826,38.2018
2024-03-07 14:30:00,1709839800000,38.14,38.16,38.05,38.05,362406,38.1245
2024-03-07 14:45:00,1709840700000,38.05,38.075,37.9725,38.01,250378,38.0275
2024-03-07 15:00:00,1709841600000,38.01,38.02,37.96,38.01,321142,37.9868
